,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.4013140480530381,0.08181247817183536,3.960342844533844
S Learner (XGB),0.13849867515765682,0.09758598518891433,0.2995307238183862
S Learner (SVR),0.06494028551869095,0.039490374886310395,0.11882541850605366
S Learner (Decision_Tree),0.13161391735767505,2.1230549119562987,1.599073966402087
S Learner (MLP),0.1742367692505272,0.02588752495218445,0.32899399044009153
S Learner (Bagging_LR),0.40170251408502117,0.08186518009605503,3.9355013713576206
S Learner (Bagging_SVR),0.07600274063881474,0.0429074632549953,0.11741418942443509
S Learner (Bagging_DT),0.6408536956758174,0.15590793859895807,1.2941534177419627
S Learner (Bagging_MLP),0.09247106873213173,0.02271536221314018,0.21386940791489376
S Learner (Adaboost_LR),0.43364449240450287,0.08962609493109415,1.8301577724230274
S Learner (Adaboost_SVR),0.08919364596840602,0.061181357192527486,0.11834555614576958
S Learner (Adaboost_DT),0.5133759654444172,0.12652782113235916,1.1552190192359764
S Learner (Adaboost_MLP),0.06510393485822459,0.0414385727511038,0.19702281611917002
S Learner (Random_Forest),0.6477423710879395,0.14325649868625304,1.0666447651319766
T Learner (LR),0.38174883629086453,0.040627650569979856,0.35245796760371567
T Learner (XGB),0.08315931668471148,0.5705504348850978,0.9568386425351773
T Learner (SVR),0.06574437688340533,0.07331556468868074,0.1680719358022514
T Learner (Decision_Tree),0.1224060443658328,2.1212613301079615,1.614143828395319
T Learner (MLP),0.11335128792797093,0.0317013069005297,0.14283140198718924
T Learner (Bagging_LR),0.3682950560755442,0.03753936062407792,0.32998458794075136
T Learner (Bagging_SVR),0.06503037145434887,0.07183078724142684,0.12500712319058552
T Learner (Bagging_DT),0.4603163921058595,0.10314578799825704,0.6632100871914139
T Learner (Bagging_MLP),0.12098409430622244,0.025016329231631235,0.15689219713010832
T Learner (Adaboost_LR),0.39945512277544487,0.04848756474266939,0.4077359244252083
T Learner (Adaboost_SVR),0.07932646258387188,0.10668912411097618,0.1823976720864013
T Learner (Adaboost_DT),0.5006603638902022,0.12988357497971348,0.8088447538058681
T Learner (Adaboost_MLP),0.06580618676994954,0.051959190066004975,0.17148733800237523
T Learner (Random_Forest),0.47258393955143224,0.10260778462178662,0.615214782822968
X Learner (LR),0.38174883629086565,0.04062765056998007,0.35245796760371567
X Learner (XGB),0.07361192786272097,0.2637612178867653,0.5498533988164375
X Learner (SVR),0.05787345950387276,0.05878227358959645,0.12358344810255677
X Learner (Decision_Tree),0.11159809286064422,1.5276923364709463,1.4710069440798097
X Learner (MLP),0.12711909780265318,0.030057446459545528,0.227766659302869
X Learner (Bagging_LR),0.36829505607554425,0.037539360624077936,0.32998458794075136
X Learner (Bagging_SVR),0.05770048394497881,0.0589363353422101,0.08326301296881566
X Learner (Bagging_DT),0.1989893835291133,0.029095867193190485,0.20535393689471773
X Learner (Bagging_MLP),0.11570831878966252,0.024078433624959344,0.12387844613221895
X Learner (Adaboost_LR),0.39747136125262816,0.04855847007090327,0.4096192690493214
X Learner (Adaboost_SVR),0.05493666998603489,0.08035219882604226,0.12913641917408203
X Learner (Adaboost_DT),0.2749690829203651,0.044829337743537034,0.42549040751217976
X Learner (Adaboost_MLP),0.07681987054865898,0.04521534532663262,0.1563897151651716
X Learner (Random_Forest),0.2031331551526591,0.02624191547261594,0.19950980124045867
