,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.3984665295712746,0.08139910263661197,3.783828502249516
S Learner (XGB),0.060561864344157224,0.03754883069863081,0.11394246810652262
S Learner (SVR),0.045585091109315634,0.019063758096910507,0.0520177538472799
S Learner (Bagging_SVR),0.04807767425827625,0.019458666685203747,0.04725984915855473
S Learner (Adaboost_SVR),0.035956829468458906,0.023120823598332917,0.0439994791396334
S Learner (Adaboost_MLP),0.0448496766340738,0.015976620242193314,0.06718963390867624
T Learner (LR),0.3784200860245881,0.038835182204869846,0.33031396633945637
T Learner (XGB),0.032631686245057745,0.1756291055318397,0.3741346334632856
T Learner (SVR),0.03477451971368706,0.03453422060047332,0.07179100484027827
T Learner (Bagging_SVR),0.04404202323695494,0.03451992165586596,0.0690863979518776
T Learner (Adaboost_SVR),0.04073363914494177,0.0402776649316954,0.06944228459758654
T Learner (Adaboost_MLP),0.024004909001393182,0.021262097650786876,0.06637595390614265
X Learner (LR),0.378420086024583,0.03883518220486889,0.33031396633945637
X Learner (XGB),0.02146420764394419,0.0747277295068029,0.12171789355253762
X Learner (SVR),0.03102659268717889,0.029069943635430927,0.05936855518765337
X Learner (Bagging_SVR),0.03734584179586009,0.029178007207474967,0.05613769722231791
X Learner (Adaboost_SVR),0.023442151675455714,0.030327588032044668,0.053599189129280626
X Learner (Adaboost_MLP),0.04915664267203579,0.015217074460615442,0.039326517500076937
