,Abs % Error of ATE,MSE,KL Divergence
Actuals,0.0,0.0,0.0
S Learner (LR),0.25407575992120635,0.05770412941623805,3.5156625132868884
S Learner (XGB),0.7533844349556877,0.6270279011969883,1.378696443880468
S Learner (SVR),0.6196058051443049,0.846439183448378,1.257327274741702
S Learner (Bagging_SVR),0.7243455030984296,0.8255170998329684,1.1952922213589108
S Learner (Adaboost_SVR),0.8959762028167398,1.1536061257624337,1.5036295883794768
S Learner (Adaboost_MLP),0.8627068011133061,1.2733883240743933,1.4682816465042359
T Learner (LR),0.2677413770761867,0.029561949921436455,0.1777607534503029
T Learner (XGB),0.7224849703822076,16.007040195697652,2.3567377098448232
T Learner (SVR),0.5345137465384499,1.2309647024252293,1.3484411895516586
T Learner (Bagging_SVR),0.45243043891015555,1.358039280464067,1.453102388199866
T Learner (Adaboost_SVR),0.7737900390323751,1.5006696065221659,1.5781706321341555
T Learner (Adaboost_MLP),0.693708597865037,1.3423261191503886,1.424317476483183
X Learner (LR),0.2677413770761887,0.02956194992143678,0.1777607534503029
X Learner (XGB),0.7127950490307547,7.493092366025194,2.10149475961525
X Learner (SVR),0.5607376499207439,1.0051279284470744,1.2627791478230341
X Learner (Bagging_SVR),0.4953235604736925,1.1242252486446165,1.3575647148542365
X Learner (Adaboost_SVR),0.75754369366751,1.1547226418341283,1.4117182743994656
X Learner (Adaboost_MLP),0.6890025044245247,1.1962962135541244,1.4073985186898494
